dataid,prediction
1,1994.8848698197858
2,2002.6269285977116
3,2000.9112439971577
4,2002.596440147709
5,2001.6415717870882
6,1999.9063464791964
7,2001.6393822725445
8,2000.8099013410215
9,2001.17288499217
10,2001.7734597642402
11,2003.0598297677552
12,2002.778704494634
13,2001.158020620893
14,2003.989611662893
15,2004.1754587615567
16,2001.1761110204516
17,2001.3375494407667
18,1999.780357578594
19,2002.5192146046234
20,2000.6839202429426
21,2002.9697337556893
22,2002.2109301386795
23,2000.0815912070786
24,2003.0887396437201
25,2001.3056483324535
26,1997.4949439105264
27,2002.1262220991923
28,2003.610701433075
29,1994.9399463610252
30,1998.4307597535376
31,2002.7002093556775
32,1997.8472709987388
33,2000.5118173476128
34,1996.242509856327
35,1999.8708986593774
36,1995.982899181872
37,1999.2183523387753
38,1999.7387334788887
39,2002.2690916163463
40,2000.3071943750977
41,2007.2794473311078
42,2009.3563993978184
43,2005.7562700440653
44,1999.5795873599552
45,2006.2155929984442
46,2008.8465440884434
47,2009.0156247751165
48,2002.8451334956858
49,2005.8145227210505
50,2008.608760478697
51,2003.699797255222
52,2008.9924919663883
53,2005.0630750584778
54,2007.6318479805157
55,2009.5237910096012
56,2009.0076591465174
57,2009.8445732817756
58,2007.8184252900573
59,2004.661903935166
60,2006.0821400602892
61,2004.895004727426
62,2007.5438047112325
63,2006.3700570641556
64,2004.2485585449294
65,2000.813282281076
66,2008.8731785279965
67,2005.8067759253738
68,2006.0789886252821
69,2015.15261058711
70,2005.758250141756
71,1987.3921456684527
72,1981.6280156764583
73,1991.0135834142113
74,1987.7121581248143
75,1991.3247359226398
76,1998.566493157932
77,1994.3525842051845
78,1999.9572261292046
79,2000.0826839727608
80,1998.5606569207446
81,2001.794868195094
82,1999.3951885303907
83,1999.0739177634323
84,1999.8822636699938
85,1999.3835368184978
86,1999.5563093710937
87,1997.587740617363
88,1974.0945219506218
89,1999.6664521739262
90,1999.6837369344935
91,1988.0532473048834
92,1991.9234846812385
93,1997.9375484850018
94,1991.7518995644732
95,1990.3561438983907
96,1994.732150750701
97,1991.4146715453955
98,1992.0094731740191
99,1993.015645706118
100,1998.3022663787378
101,1995.5909842201836
102,1997.695467058327
103,2000.2626658953354
104,1996.500758846777
105,2000.4008304942706
106,2001.961722254707
107,1996.3099883844116
108,1997.7341785352394
109,1995.9987994832145
110,1996.8860115425525
111,1999.1366806268634
112,1999.3865316994832
113,1997.128635730581
114,1997.1375996625125
115,1996.0557118183647
116,1994.9163853120824
117,1996.6753370771162
118,1998.504929811316
119,1995.911997853021
120,1997.1291951656267
121,1998.750427265767
122,1997.4558909273287
123,1988.7324670353391
